,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mutual Funds,AUM (in Cr),Benchmark,Returns,,,SIP Returns,,,Risk Ratios,,,,% investment in category,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3Y,5Y,10Y,3Y,5Y,10Y,Beta,Sharpe Ratio,Jensen's Alpha,Treynor's Ratio,,,,,,,,,,,,,,,,,,,,,,,,,
,Category Return,,,14.90%,17.15%,13.38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Benchmark Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ICICI Prudential Large Cap Fund - Direct Plan - Growth,73034.52,,17.91%,19.95%,14.94%,28.14%,54.29%,141.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nippon India Large Cap Fund - Direct Plan - Growth,48870.6,,18.93%,22.88%,14.89%,29.37%,61.74%,152.96%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DSP Large Cap Fund - Direct Plan - Growth,6933.59,,17.63%,17.05%,12.30%,28.45%,50.20%,113.49%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entity,AUM (₹ Cr),3Y Returns (Ann.),5Y Returns (Ann.),10Y Returns (Ann.),3Y SIP Returns (Ann.),5Y SIP Returns (Ann.),10Y SIP Returns (Ann.),Beta (3Y),Sharpe (3Y),Jensen’s Alpha (3Y),Treynor (3Y),% investment in category,,,,,,,,,,,,,,,,,,,,,,,,,
,Category (Large Cap – Average),NA,15.86%,17.68%,14.04%,NA,NA,NA,0.94,0.72,0.83,0.09,NA,,,,,,,,,,,,,,,,,,,,,,,,,
,Index (Nifty 50),NA,12.35%,15.14%,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,
,ICICI Prudential Large Cap Fund - Direct Growth,73034.52,18.58%,20.66%,15.77%,16.75%,17.35%,16.78%,0.88,1.06,4.49,0.14,18.47%,,,,,,,,,,,,,,,,,,,,,,,,,
,Nippon India Large Cap Fund - Direct Growth,48870.6,19.95%,23.92%,15.96%,17.42%,19.28%,17.65%,0.97,1.1,5.89,0.14,19.15%,,,,,,,,,,,,,,,,,,,,,,,,,
,DSP Large Cap Fund - Direct Growth,6933.59,18.61%,18.00%,13.16%,16.92%,16.26%,14.50%,0.85,1.05,4.87,0.14,2.72%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Returns,,,,,,Risk Ratios,,,,,,,,,,Alocations,,,,,,,,,,,,,,
,Entity Type,Entity Name,Category Name,Benchmark Name,AUM (₹ Cr),% Share of Category AUM,Expense Ratio (TER %),3Y Return (Ann.),5Y Return (Ann.),10Y Return (Ann.),3Y SIP Return (XIRR %),5Y SIP Return (XIRR %),10Y SIP Return (XIRR %),Beta (3Y),Volatility (Std Dev %),Sharpe Ratio (3Y),Sortino Ratio (3Y),Jensen's Alpha (3Y),Treynor Ratio (3Y),Information Ratio (3Y),Maximum Drawdown (3Y %),Upside Capture Ratio (3Y),Downside Capture Ratio (3Y),Large Cap Allocation (%),Mid Cap Allocation (%),Small Cap Allocation (%),Top 10 Holdings Concentration (%),Turnover Ratio (%),Sector 1 Name,Sector 1 Weight (%),Sector 2 Name,Sector 2 Weight (%),Sector 3 Name,Sector 3 Weight (%),Sector 4 Name,Sector 4 Weight (%),Sector 5 Name,Sector 5 Weight (%)
,Benchmark,NIFTY 100 TRI,Large Cap,NIFTY 100 TRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Benchmark,BSE 100 TRI,Large Cap,BSE 100 TRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Category,Large Cap - Category Average,Large Cap,NIFTY 100 TRI / BSE 100 TRI,,,0.86,15.86,17.68,14.04,,,,0.94,,0.72,,0.83,0.09,,,,,,,,,,,,,,,,,,,
,Fund,Nippon India Large Cap Fund - Direct Plan - Growth,Large Cap Fund,BSE 100 TRI,48870.6,18.94%,0.68%,19.47%,23.69%,15.98%,17.65%,19.42%,17.73%,0.97,12.24%,1.1,Not found,5.89,0.14,Not found,- Not found,Not found,Not found,63.83%,7.13%,3.34%,43.56%,Not found,Not found,,,,,,,,,
,Fund,Invesco India Largecap Fund - Direct Plan - Growth,Large Cap Fund,Nifty 100 TRI,1686.04,0.66%,0.71%,18.57%,15.19%,NA,17.51%,16.97%,16.26%,0.93,11.68%,1.04,Not found,3.13,0.13,Not found,Not found,Not found,Not found,48.17%,8.39%,8.25%,Not found,Not found,Not found,,,,,,,,,
,Fund,DSP Large Cap Fund - Direct Plan - Growth,Large Cap Fund,BSE 100 TRI,6933.59,2.69%,0.86%,18.39%,13.19%,NA,17.21%,16.45%,14.59%,0.96,12.24%,1.03,Not found,0,0.13,Not found,Not found,Not found,Not found,69.47%,3.38%,0.79%,Not found,Not found,Not found,,,,,,,,,
,Fund,ICICI Prudential Large Cap Fund - Direct Plan - Growth,Large Cap Fund,Nifty 100 TRI,73034.52,18.47%,0.86%,18.29%,15.84%,NA,16.59%,16.98%,16.19%,1,11.24%,1.03,Not found,0,0.13,Not found,Not found,Not found,Not found,74.48%,3.33%,0.07%,Not found,13.00%,Not found,,,,,,,,,
,Fund,Bandhan Large Cap Fund - Direct Plan - Growth,Large Cap Fund,BSE 100 TRI,1916.18,0.48%,0.87%,17.66%,14.96%,NA,17.52%,16.52%,15.77%,0.94,11.17%,0.97,Not found,0,0.13,Not found,Not found,Not found,Not found,56.24%,5.63%,5.85%,Not found,Not found,Not found,,,,,,,,,
,Fund,JM Large Cap Fund - (Direct) - Growth,Large Cap Fund,BSE 100 TRI,486.91,0.19%,0.81%,16.73%,13.07%,NA,14.07%,15.19%,14.48%,0.87,12.24%,0.55,Not found,2.2,0.09,Not found,Not found,Not found,Not found,49.16%,18.73%,2.82%,Not found,Not found,Not found,,,,,,,,,
,Fund,HDFC Large Cap Fund - Direct Plan - Growth,Large Cap Fund,Nifty 100 TRI,39779.26,15.42%,0.98%,15.88%,14.36%,NA,13.58%,15.67%,15.30%,0.91,12.24%,0.72,Not found,0,0.09,Not found,Not found,Not found,Not found,66.82%,5.60%,0.33%,Not found,Not found,Not found,,,,,,,,,
,Fund,Motilal Oswal Large Cap Fund - Direct Plan - Growth,Large Cap Fund,Nifty 100 TRI,2779.28,0.70%,0.81%,15.13%,14.14%,14.09%,Not found,Not found,Not found,0.95,11.5% (est.),Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,60.06%,3.10%,5.05%,Not found,Not found,Not found,,,,,,,,,
,Fund,SBI Large Cap Fund - Direct Plan - Growth,Large Cap Fund,BSE 100 TRI,52829.93,13.36%,0.82%,14.45%,14.05%,NA,13.50%,14.07%,14.62%,0.94,11.68%,0.69,Not found,0,0,Not found,Not found,Not found,Not found,65.31%,4.93%,0.71%,Not found,Not found,Not found,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Returns,,,,,,Risk Ratios,,,,,,,,,,Alocations,,,,,,,,,,,,,,
,Entity Type,Entity Name,Category Name,Benchmark Name,AUM (₹ Cr),% Share of Category AUM,Expense Ratio (TER %),3Y Return (Ann.),5Y Return (Ann.),10Y Return (Ann.),3Y SIP Return (XIRR %),5Y SIP Return (XIRR %),10Y SIP Return (XIRR %),Beta (3Y),Volatility (Std Dev %),Sharpe Ratio (3Y),Sortino Ratio (3Y),Jensen's Alpha (3Y),Treynor Ratio (3Y),Information Ratio (3Y),Maximum Drawdown (3Y %),Upside Capture Ratio (3Y),Downside Capture Ratio (3Y),Large Cap Allocation (%),Mid Cap Allocation (%),Small Cap Allocation (%),Top 10 Holdings Concentration (%),Turnover Ratio (%),Sector 1 Name,Sector 1 Weight (%),Sector 2 Name,Sector 2 Weight (%),Sector 3 Name,Sector 3 Weight (%),Sector 4 Name,Sector 4 Weight (%),Sector 5 Name,Sector 5 Weight (%)
,Benchmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Benchmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entity Type,Entity Name,Category Name,Benchmark Name,AUM (₹ Cr),% Share of Category AUM,Expense Ratio (TER %),3Y Return (Annualized),5Y Return (Annualized),10Y Return (Annualized),3Y SIP Return (XIRR %),5Y SIP Return (XIRR %),10Y SIP Return (XIRR %),Beta (3Y),Volatility (Std Dev %),Sharpe Ratio (3Y),Sortino Ratio (3Y),Jensen’s Alpha (3Y),Treynor Ratio (3Y),Information Ratio (3Y),Maximum Drawdown (3Y %),Upside Capture Ratio (3Y),Downside Capture Ratio (3Y),Large Cap Allocation (%),Mid Cap Allocation (%),Small Cap Allocation (%),Top 10 Holdings Concentration (%),Turnover Ratio (%),Top 5 Sector Allocation,,,,,,,,,
,Fund,Nippon India Large Cap Fund - Direct Plan - Growth,Large Cap Fund,BSE 100 TRI,48870.6,18.94%,0.68%,19.47%,23.69%,15.98%,17.65%,19.42%,17.73%,0.97,12.24%,1.1,Not found,5.89,0.14,Not found,- Not found,Not found,Not found,63.83%,7.13%,3.34%,43.56%,Not found,Not found,,,,,,,,,
,Fund,Invesco India Largecap Fund - Direct Plan - Growth,Large Cap Fund,Nifty 100 TRI,1686.04,0.66%,0.71%,18.57%,15.19%,NA,17.51%,16.97%,16.26%,0.93,11.68%,1.04,Not found,3.13,0.13,Not found,Not found,Not found,Not found,48.17%,8.39%,8.25%,Not found,Not found,Not found,,,,,,,,,
,Fund,DSP Large Cap Fund - Direct Plan - Growth,Large Cap Fund,BSE 100 TRI,6933.59,2.69%,0.86%,18.39%,13.19%,NA,17.21%,16.45%,14.59%,0.96,12.24%,1.03,Not found,0,0.13,Not found,Not found,Not found,Not found,69.47%,3.38%,0.79%,Not found,Not found,Not found,,,,,,,,,
,Fund,ICICI Prudential Large Cap Fund - Direct Plan - Growth,Large Cap Fund,Nifty 100 TRI,73034.52,18.47%,0.86%,18.29%,15.84%,NA,16.59%,16.98%,16.19%,1,11.24%,1.03,Not found,0,0.13,Not found,Not found,Not found,Not found,74.48%,3.33%,0.07%,Not found,13.00%,Not found,,,,,,,,,
,Fund,Bandhan Large Cap Fund - Direct Plan - Growth,Large Cap Fund,BSE 100 TRI,1916.18,0.48%,0.87%,17.66%,14.96%,NA,17.52%,16.52%,15.77%,0.94,11.17%,0.97,Not found,0,0.13,Not found,Not found,Not found,Not found,56.24%,5.63%,5.85%,Not found,Not found,Not found,,,,,,,,,
,Fund,JM Large Cap Fund - (Direct) - Growth,Large Cap Fund,BSE 100 TRI,486.91,0.19%,0.81%,16.73%,13.07%,NA,14.07%,15.19%,14.48%,0.87,12.24%,0.55,Not found,2.2,0.09,Not found,Not found,Not found,Not found,49.16%,18.73%,2.82%,Not found,Not found,Not found,,,,,,,,,
,Fund,HDFC Large Cap Fund - Direct Plan - Growth,Large Cap Fund,Nifty 100 TRI,39779.26,15.42%,0.98%,15.88%,14.36%,NA,13.58%,15.67%,15.30%,0.91,12.24%,0.72,Not found,0,0.09,Not found,Not found,Not found,Not found,66.82%,5.60%,0.33%,Not found,Not found,Not found,,,,,,,,,
,Fund,Motilal Oswal Large Cap Fund - Direct Plan - Growth,Large Cap Fund,Nifty 100 TRI,2779.28,0.70%,0.81%,15.13%,14.14%,14.09%,Not found,Not found,Not found,0.95,11.5% (est.),Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,60.06%,3.10%,5.05%,Not found,Not found,Not found,,,,,,,,,
,Fund,SBI Large Cap Fund - Direct Plan - Growth,Large Cap Fund,BSE 100 TRI,52829.93,13.36%,0.82%,14.45%,14.05%,NA,13.50%,14.07%,14.62%,0.94,11.68%,0.69,Not found,0,0,Not found,Not found,Not found,Not found,65.31%,4.93%,0.71%,Not found,Not found,Not found,,,,,,,,,
,Category,Large Cap Fund (Category Average),Large Cap Fund,Not applicable,~400000 (est.),100%,0.86%,14.19%,16.31%,12.96%,Not found,Not found,Not found,Not applicable,12.10%,0.72,0.83 (est.),0.00 (by def.),Not found,-21.0% (est.),100%,100%,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,
,Benchmark,S&P BSE 100 TRI (Benchmark Index),Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,~15.9%,~17.5%,~14.1%,Not applicable,Not applicable,Not applicable,1.00 (by def.),~12.2%,~0.7 (est.),Not applicable,0.00 (by def.),Not applicable,-21.5% (est.),Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,
,Benchmark,Nifty 100 TRI (Benchmark Index),Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,~16.8%,~17.7%,~14.0%,Not applicable,Not applicable,Not applicable,1.00 (by def.),~12.1%,~0.8 (est.),Not applicable,0.00 (by def.),Not applicable,-20.0% (est.),Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,